iter	Logloss
0	0.6897401767
1	0.6843210952
2	0.6799880939
3	0.6759420164
4	0.6704268823
5	0.6665384243
6	0.6616395206
7	0.6568522753
8	0.6522349121
9	0.6473516984
10	0.643234512
11	0.6386026792
12	0.6343151055
13	0.6298198024
14	0.6272849794
15	0.6232620562
16	0.6187203522
17	0.6158359525
18	0.6116130744
19	0.608088082
20	0.604090638
21	0.6004473122
22	0.598207265
23	0.5939154458
24	0.5902835901
25	0.5872975214
26	0.5833631542
27	0.5800821452
28	0.5768275151
29	0.5747983413
30	0.5712421621
31	0.5676471693
32	0.564030035
33	0.5606515135
34	0.557728482
35	0.5542538074
36	0.5516844039
37	0.5482359891
38	0.5453837039
39	0.542631017
40	0.5396626021
41	0.5369018884
42	0.5340511063
43	0.5312057138
44	0.5281423995
45	0.5257477273
46	0.5232018835
47	0.520397859
48	0.5187492374
49	0.516372796
50	0.5144467406
51	0.5121697475
52	0.5097668819
53	0.5076358116
54	0.5054113982
55	0.5031540303
56	0.5009645353
57	0.4991050409
58	0.4977111775
59	0.4954195294
60	0.4938715158
61	0.492032661
62	0.4900936641
63	0.4883427058
64	0.4870588703
65	0.4861250974
66	0.4844366617
67	0.4825857905
68	0.4809198606
69	0.4791659185
70	0.4774511115
71	0.4762449636
72	0.4743366599
73	0.4727621174
74	0.4714921822
75	0.4697620785
76	0.4679150545
77	0.4661540263
78	0.4651795934
79	0.4635929863
80	0.4623067648
81	0.4606095529
82	0.4591284296
83	0.4581161226
84	0.4564983924
85	0.4551445574
86	0.4539977244
87	0.4527313788
88	0.4516735499
89	0.4502499395
90	0.4487935384
91	0.4473101329
92	0.4462479077
93	0.4447878622
94	0.4437864481
95	0.4428813739
96	0.4414795103
97	0.4402750486
98	0.4391152196
99	0.4384387491
100	0.4374542549
101	0.4362754772
102	0.4349493355
103	0.4342007289
104	0.4330170646
105	0.4323870275
106	0.4315071271
107	0.4305554745
108	0.429646281
109	0.4284955431
110	0.4274550068
111	0.4264288019
112	0.4255558284
113	0.4247157099
114	0.4238173872
115	0.4230825847
116	0.4226039058
117	0.4214950607
118	0.4206100153
119	0.4200004106
120	0.4191800469
121	0.4183127192
122	0.4173403906
123	0.4166566362
124	0.4154944702
125	0.414660618
126	0.4136689955
127	0.4130132007
128	0.4123386439
129	0.4114302124
130	0.4111383167
131	0.4104631451
132	0.4097802553
133	0.4091484831
134	0.4082704803
135	0.4074741114
136	0.4067682016
137	0.4059407659
138	0.4050444811
139	0.4041386235
140	0.4034473551
141	0.4025415362
142	0.4018946348
143	0.4014034805
144	0.4010994116
145	0.4004808637
146	0.3998957413
147	0.3993727243
148	0.3989836995
149	0.3981995184
150	0.3975946302
151	0.396626171
152	0.3962331106
153	0.3957970279
154	0.3952606184
155	0.3949335154
156	0.3942808419
157	0.3936794496
158	0.3930862825
159	0.3926516128
160	0.3919800352
161	0.391260126
162	0.3906300201
163	0.3900241958
164	0.3893664121
165	0.3892031152
166	0.3885695177
167	0.3880688866
168	0.3874622209
169	0.3867577108
170	0.3862729326
171	0.3856585158
172	0.384962753
173	0.3847549375
174	0.384087078
175	0.3839559387
176	0.3834212171
177	0.3829201119
178	0.3823823425
179	0.382020022
180	0.381476572
181	0.3809727601
182	0.3806497251
183	0.3803661864
184	0.380187754
185	0.3796728313
186	0.3790468691
187	0.3785202798
188	0.3780579425
189	0.3775729388
190	0.3769575808
191	0.3766010331
192	0.376381735
193	0.3759451013
194	0.3754608617
195	0.3748882221
196	0.3744790887
197	0.3741533715
198	0.373859433
199	0.3734153131
200	0.372961402
201	0.3723231341
202	0.3717332883
203	0.3714529802
204	0.3711823742
205	0.3709714183
206	0.3706650554
207	0.3703734167
208	0.3699029354
209	0.3695641306
210	0.3691914443
211	0.368754058
212	0.3684812225
213	0.3682121945
214	0.3679381046
215	0.3675505638
216	0.3672644052
217	0.3670489111
218	0.3667957595
219	0.3662957886
220	0.3660930119
221	0.3656314019
222	0.3653439573
223	0.3649745405
224	0.3645620698
225	0.3642035584
226	0.36407295
227	0.3637529376
228	0.3632958512
229	0.3630561569
230	0.3628626986
231	0.3625370957
232	0.3619128774
233	0.3616785295
234	0.3612984366
235	0.3608495347
236	0.3604992654
237	0.3601917874
238	0.3597148953
239	0.3596191783
240	0.3593994452
241	0.3591082313
242	0.3588994425
243	0.3587377835
244	0.3582642101
245	0.3579371793
246	0.3578184409
247	0.3574834587
248	0.357135957
249	0.3567922592
250	0.3565699182
251	0.3564174057
252	0.3560301846
253	0.3556856601
254	0.3552591768
255	0.3551966741
256	0.3548709969
257	0.354620974
258	0.3544153302
259	0.3540648029
260	0.3538285015
261	0.3534148371
262	0.352978375
263	0.3527293968
264	0.3525130127
265	0.3523246179
266	0.3518647284
267	0.3515487813
268	0.3512500852
269	0.3510852046
270	0.3505821789
271	0.3504331993
272	0.3501947205
273	0.3498996288
274	0.3496010205
275	0.3493855381
276	0.3489808207
277	0.3488432569
278	0.3485407675
279	0.3483801171
