iter	Passed	Remaining
0	152	152829
1	160	79946
2	164	54827
3	169	42124
4	172	34326
5	175	29056
6	178	25306
7	180	22427
8	183	20194
9	185	18341
10	187	16877
11	190	15650
12	192	14635
13	195	13746
14	197	12974
15	199	12254
16	201	11652
17	203	11113
18	206	10637
19	208	10211
20	210	9801
21	213	9469
22	216	9184
23	219	8929
24	221	8654
25	224	8403
26	225	8142
27	228	7918
28	230	7714
29	232	7510
30	233	7310
31	235	7133
32	237	6973
33	240	6826
34	242	6690
35	244	6558
36	247	6432
37	249	6313
38	251	6192
39	253	6085
40	255	5985
41	258	5888
42	260	5798
43	262	5713
44	265	5630
45	267	5554
46	270	5479
47	272	5412
48	275	5344
49	277	5281
50	280	5221
51	283	5165
52	285	5101
53	287	5044
54	290	4990
55	291	4918
56	294	4866
57	295	4804
58	298	4763
59	301	4717
60	303	4672
61	306	4630
62	308	4587
63	310	4546
64	313	4507
65	315	4468
66	318	4431
67	320	4397
68	323	4362
69	325	4328
70	328	4295
71	330	4263
72	333	4231
73	335	4202
74	338	4175
75	341	4148
76	343	4120
77	345	4086
78	348	4060
79	351	4037
80	353	4012
81	356	3987
82	358	3964
83	361	3941
84	364	3918
85	366	3895
86	369	3875
87	371	3853
88	374	3831
89	376	3810
90	379	3790
91	382	3770
92	384	3753
93	386	3726
94	389	3714
95	392	3696
96	395	3683
97	397	3661
98	400	3645
99	403	3628
100	406	3614
101	408	3600
102	411	3587
103	414	3575
104	417	3561
105	420	3547
106	423	3534
107	425	3510
108	427	3498
109	431	3494
110	435	3491
111	438	3477
112	441	3463
113	444	3453
114	447	3442
115	450	3432
116	453	3421
117	456	3409
118	458	3396
119	461	3385
120	464	3373
121	467	3361
122	468	3342
123	471	3331
124	473	3313
125	476	3303
126	478	3290
127	482	3283
128	485	3281
129	489	3273
130	492	3263
131	494	3250
132	497	3239
133	499	3230
134	502	3221
135	505	3211
136	507	3195
137	510	3188
138	513	3180
139	516	3172
140	519	3164
141	521	3149
142	524	3141
143	527	3133
144	530	3125
145	532	3116
146	535	3107
147	538	3099
148	541	3091
149	545	3088
150	548	3081
151	550	3073
152	552	3060
153	554	3048
154	557	3041
155	560	3033
156	563	3026
157	566	3019
158	569	3011
159	572	3003
160	575	2997
161	578	2990
162	580	2982
163	583	2975
164	586	2968
165	589	2962
166	592	2956
167	595	2951
168	598	2944
169	602	2940
170	605	2935
171	608	2929
172	611	2923
173	614	2917
174	617	2912
175	620	2907
176	624	2901
177	627	2896
178	630	2893
179	634	2890
180	637	2884
181	640	2877
182	643	2873
183	646	2867
184	649	2860
185	652	2855
186	655	2849
187	658	2842
188	661	2837
189	664	2830
190	666	2825
191	670	2819
192	672	2813
193	675	2807
194	678	2802
195	681	2796
196	684	2790
197	687	2784
198	690	2779
199	693	2773
200	695	2762
201	697	2756
202	701	2752
203	703	2746
204	706	2741
205	709	2735
206	712	2730
207	716	2726
208	719	2723
209	722	2718
210	725	2713
211	728	2708
212	731	2704
213	735	2700
214	738	2695
215	741	2690
216	744	2685
217	747	2681
218	750	2676
219	753	2671
220	756	2666
221	759	2662
222	762	2657
223	765	2653
224	768	2648
225	772	2643
226	775	2639
227	778	2634
228	781	2629
229	784	2625
230	787	2620
231	790	2616
232	793	2612
233	797	2611
234	800	2607
235	804	2603
236	807	2600
237	811	2597
238	814	2593
239	817	2590
240	821	2585
241	824	2581
242	827	2578
243	830	2573
244	834	2570
245	837	2566
246	840	2561
247	843	2558
248	846	2553
249	849	2549
250	852	2544
251	855	2540
252	858	2536
253	862	2531
254	865	2527
255	868	2522
256	871	2518
257	874	2514
258	877	2510
259	880	2505
260	883	2501
261	886	2496
262	889	2492
263	892	2488
264	895	2484
265	897	2475
266	900	2471
267	903	2466
268	906	2462
269	909	2458
270	912	2453
271	915	2449
272	918	2445
273	921	2442
274	924	2437
275	927	2433
276	930	2429
277	932	2421
278	935	2417
279	938	2414
280	941	2409
281	944	2405
282	947	2401
283	950	2397
284	954	2394
285	957	2390
286	960	2386
287	963	2382
288	966	2378
289	969	2374
290	972	2370
291	975	2366
292	978	2361
293	981	2358
294	985	2354
295	988	2350
296	991	2346
297	994	2342
298	997	2338
299	1000	2335
300	1004	2332
301	1007	2328
302	1010	2325
303	1014	2322
304	1017	2318
305	1020	2315
306	1024	2311
307	1027	2308
308	1031	2306
309	1034	2302
310	1037	2298
311	1040	2294
312	1043	2290
313	1046	2287
314	1050	2283
315	1053	2279
316	1056	2275
317	1059	2271
318	1062	2267
319	1065	2264
320	1068	2260
321	1071	2257
322	1074	2253
323	1078	2249
324	1081	2245
325	1084	2241
326	1087	2237
327	1090	2234
328	1093	2230
329	1095	2225
330	1099	2221
331	1102	2218
332	1106	2215
333	1109	2212
334	1112	2209
335	1115	2204
336	1118	2200
337	1121	2196
338	1125	2193
339	1128	2189
340	1131	2186
341	1134	2182
342	1137	2179
343	1140	2175
344	1144	2173
345	1148	2169
346	1151	2166
347	1154	2163
348	1157	2160
349	1159	2153
350	1163	2150
351	1166	2146
352	1169	2143
353	1172	2139
354	1175	2136
355	1179	2133
356	1182	2129
357	1185	2126
358	1188	2122
359	1191	2119
360	1193	2113
361	1196	2109
362	1199	2105
363	1204	2103
364	1207	2101
365	1210	2096
366	1213	2093
367	1217	2090
368	1220	2087
369	1224	2084
370	1227	2081
371	1231	2078
372	1234	2075
373	1237	2071
374	1241	2069
375	1243	2064
376	1246	2060
377	1248	2055
378	1252	2051
379	1255	2047
380	1258	2044
381	1261	2041
382	1264	2037
383	1268	2034
384	1271	2031
385	1274	2027
386	1277	2023
387	1280	2019
388	1282	2014
389	1286	2011
390	1288	2007
391	1291	2003
392	1294	2000
393	1297	1996
394	1300	1992
395	1303	1988
396	1306	1984
397	1309	1980
398	1312	1976
399	1314	1972
400	1317	1968
401	1320	1964
402	1322	1959
403	1325	1955
404	1328	1951
405	1331	1947
406	1334	1943
407	1336	1939
408	1339	1936
409	1342	1932
410	1345	1928
411	1348	1924
412	1351	1921
413	1354	1917
414	1357	1913
415	1360	1910
416	1363	1906
417	1366	1902
418	1369	1898
419	1372	1895
420	1375	1891
421	1378	1887
422	1381	1884
423	1384	1880
424	1387	1876
425	1390	1873
426	1393	1869
427	1396	1866
428	1399	1863
429	1402	1859
430	1405	1855
431	1408	1852
432	1411	1848
433	1414	1845
434	1417	1841
435	1421	1838
436	1424	1834
437	1427	1831
438	1430	1828
439	1433	1824
440	1436	1821
441	1439	1817
442	1442	1814
443	1445	1809
444	1448	1806
445	1450	1801
446	1453	1797
447	1456	1794
448	1459	1790
449	1462	1787
450	1465	1783
451	1468	1780
452	1471	1776
453	1474	1772
454	1477	1769
455	1479	1764
456	1482	1760
457	1485	1757
458	1488	1754
459	1491	1750
460	1494	1746
461	1497	1743
462	1500	1739
463	1503	1736
464	1506	1733
465	1509	1729
466	1512	1725
467	1514	1722
468	1517	1718
469	1520	1714
470	1523	1710
471	1526	1707
472	1528	1703
473	1531	1699
474	1534	1696
475	1537	1692
476	1540	1688
477	1543	1685
478	1545	1681
479	1548	1677
480	1551	1674
481	1554	1670
482	1557	1666
483	1560	1663
484	1562	1659
485	1565	1655
486	1568	1652
487	1571	1648
488	1574	1645
489	1576	1641
490	1578	1636
491	1581	1633
492	1584	1629
493	1587	1625
494	1590	1622
495	1593	1619
496	1596	1615
497	1599	1612
498	1602	1609
499	1605	1605
500	1608	1602
501	1611	1598
502	1614	1595
503	1617	1592
504	1620	1588
505	1623	1585
506	1626	1582
507	1630	1578
508	1633	1575
509	1636	1572
510	1639	1568
511	1642	1565
512	1645	1561
513	1648	1558
514	1651	1554
515	1653	1551
516	1656	1547
517	1659	1544
518	1662	1540
519	1665	1537
520	1668	1534
521	1671	1530
522	1674	1527
523	1677	1523
524	1680	1520
525	1683	1517
526	1686	1513
527	1690	1510
528	1693	1507
529	1696	1504
530	1699	1500
531	1701	1496
532	1704	1493
533	1707	1489
534	1710	1486
535	1712	1482
536	1715	1479
537	1718	1475
538	1720	1471
539	1723	1468
540	1726	1464
541	1729	1461
542	1732	1457
543	1735	1454
544	1737	1450
545	1741	1448
546	1746	1446
547	1749	1442
548	1752	1439
549	1754	1435
550	1757	1432
551	1760	1428
552	1763	1425
553	1764	1420
554	1767	1417
555	1770	1414
556	1773	1410
557	1776	1407
558	1779	1403
559	1782	1400
560	1785	1397
561	1788	1394
562	1791	1390
563	1794	1387
564	1797	1384
565	1800	1380
566	1804	1377
567	1807	1374
568	1810	1371
569	1814	1368
570	1817	1365
571	1820	1362
572	1822	1358
573	1826	1355
574	1828	1351
575	1831	1347
576	1834	1344
577	1838	1342
578	1841	1338
579	1844	1335
580	1847	1332
581	1850	1328
582	1853	1325
583	1856	1322
584	1859	1318
585	1861	1315
586	1864	1312
587	1867	1308
588	1870	1305
589	1874	1302
590	1877	1299
591	1880	1295
592	1883	1292
593	1886	1289
594	1889	1286
595	1892	1283
596	1896	1279
