RMS Titanic,RMS Titanic.1
RMS Titanic partindo de Southampton em 10 de abril de 1912,RMS Titanic partindo de Southampton em 10 de abril de 1912
Reino Unido,Reino Unido
Proprietário,White Star Line
Operador,White Star Line
Fabricante,"Harland and Wolff, Belfast, Irlanda"
Custo,"GB£ 1,5 milhão (£ 140 milhões em 2016)"
Data de encomenda,17 de setembro de 1908
Batimento de quilha,31 de março de 1909
Lançamento,31 de maio de 1911
Comissionamento,2 de abril de 1912
Viagem inaugural,10 de abril de 1912
Porto de registro,"Liverpool, Inglaterra"
Indicativo de chamada,MGY
Número do casco,401
Rota,Southampton a Nova Iorque
Comandante(s),Edward Smith
Estado,Naufragado
Destino,Afundou no oceano Atlântico em 15 de abril de 1912
Características gerais,Características gerais
Tipo de navio,Transatlântico
Classe,Olympic
Deslocamento,52 310 t
Tonelagem,46 328 t
Maquinário,29 caldeiras 2 motores de tripla-expansão com quatro cilindros 1 turbina de baixa pressão
Comprimento,269 m
Boca,28 m
Calado,"10,5 m"
Altura,53 m
Propulsão,2 hélices triplas 1 hélice quádrupla
-,46 000 cv (33 800 kW)
Velocidade,21 nós (39 km/h) (média)
Tripulação,892
Passageiros,2 435
